start_seconds,stop_seconds,name,peak_freq_hz,mean_freq_hz,freq_bandwidth_hz,duration_ms,mean_power_db,max_power_db
96.203744,96.208864,flat,38818.359375,39111.916692,3906.25,5.12,-88.198658,-83.661383
96.22576,96.231904,flat,45166.015625,40128.456312,7080.078125,6.144,-86.872394,-75.071428
98.023392,98.031584,inverted_u,25390.625,26164.694224,3173.828125,8.192,-87.24615,-75.079088
116.565984,116.573152,u_shape,50537.109375,25633.30615,7324.21875,7.168,-86.470481,-77.285928
169.64448,169.65216,sweep_up,59814.453125,39148.553407,9277.34375,7.68,-88.036458,-77.653485
169.849792,169.854912,sweep_up,45654.296875,45172.999197,6835.9375,5.12,-87.743024,-82.722561
248.30656,248.315264,flat,25390.625,25669.351681,976.5625,8.704,-84.778339,-77.68612
349.564256,349.577568,complex,25390.625,28863.064362,17089.84375,13.312,-85.390378,-63.506269
411.768128,411.776832,flat,25390.625,25906.486338,2929.6875,8.704,-87.369166,-71.834924
417.395488,417.401632,complex,45166.015625,45226.230058,1464.84375,6.144,-88.85296,-85.971963
519.650048,519.65568,flat,34667.96875,34813.731684,1464.84375,5.632,-87.081771,-82.06428
