start_seconds,stop_seconds,name,peak_freq_hz,mean_freq_hz,freq_bandwidth_hz,duration_ms,mean_power_db,max_power_db
283.628416,283.642752,flat,26123.046875,27254.460941,6347.65625,14.336,-84.662429,-71.25925
284.02112,284.02624,flat,28076.171875,27650.447574,5615.234375,5.12,-88.563322,-82.371153
284.74304,284.756352,sweep_up,25634.765625,27388.920655,6835.9375,13.312,-86.38642,-76.37327
285.707648,285.732736,flat,51513.671875,25828.407194,4150.390625,25.088,-84.18834,-61.925715
286.17152,286.178176,flat,25390.625,27817.041933,8300.78125,6.656,-86.867583,-76.998769
286.272896,286.278528,sweep_up,26367.1875,27500.448029,6591.796875,5.632,-86.524047,-79.164238
286.685568,286.696832,u_shape,59570.3125,60016.114148,10498.046875,11.264,-86.509055,-73.174603
287.631744,287.637376,u_shape,42724.609375,42837.208051,3662.109375,5.632,-88.535517,-85.083578
288.141696,288.157056,inverted_u,40771.484375,45628.763645,24902.34375,15.36,-86.743342,-75.510507
288.428928,288.458624,inverted_u,42480.46875,45034.760424,30761.71875,29.696,-85.83193,-68.834032
288.686976,288.694656,u_shape,56152.34375,37967.838642,33203.125,7.68,-87.164574,-74.42316
288.71872,288.727424,sweep_down,30517.578125,29936.816301,9521.484375,8.704,-87.476439,-79.509256
288.817536,288.824704,inverted_u,47363.28125,45935.09217,9033.203125,7.168,-86.888461,-75.610507
288.830848,288.84928,sweep_down,36376.953125,34323.155799,18798.828125,18.432,-87.704366,-75.460915
288.85952,288.866688,inverted_u,32714.84375,32503.009218,10498.046875,7.168,-87.195954,-81.164035
288.877952,288.886144,inverted_u,30761.71875,30638.679193,8056.640625,8.192,-87.675456,-80.85575
288.896896,288.906624,complex,38818.359375,34284.050346,12695.3125,9.728,-87.538895,-78.968267
288.99264,289.00032,inverted_u,28076.171875,30962.216484,11230.46875,7.68,-86.946636,-79.580942
289.031552,289.060224,flat,60791.015625,30106.396474,6591.796875,28.672,-81.522164,-58.032696
289.170816,289.183616,inverted_u,31738.28125,36690.497028,39306.640625,12.8,-83.051572,-59.998845
289.223552,289.229696,u_shape,44921.875,45537.488924,10253.90625,6.144,-86.860477,-79.420291
289.510272,289.534336,sweep_up,62011.71875,30422.977844,10009.765625,24.064,-86.048904,-59.557683
289.551744,289.556864,inverted_u,42968.75,40513.15203,7812.5,5.12,-86.100396,-78.030544
289.709952,289.723776,inverted_u,41992.1875,42448.714652,6591.796875,13.824,-87.552025,-82.262164
290.084224,290.09856,complex,40527.34375,40015.082621,16845.703125,14.336,-87.409966,-75.203101
291.225472,291.2352,sweep_down,29541.015625,32243.018983,10986.328125,9.728,-87.862632,-79.227594
300.941664,300.955488,flat,33935.546875,34147.532634,3173.828125,13.824,-85.291955,-77.304609
301.552992,301.598048,flat,30517.578125,30662.70008,3906.25,45.056,-77.629056,-58.897498
301.895008,301.90576,flat,63476.5625,31743.20534,1953.125,10.752,-81.775046,-64.833218
302.196064,302.231392,sweep_down,64697.265625,48723.552416,8789.0625,35.328,-84.363496,-57.046491
302.668128,302.698848,inverted_u,64208.984375,31938.550399,4150.390625,30.72,-84.067728,-63.515484
302.76592,302.772576,sweep_down,26123.046875,29444.846246,8789.0625,6.656,-86.819431,-78.117167
302.78128,302.786912,sweep_up,26123.046875,27132.377505,10009.765625,5.632,-84.126737,-68.826093
