start_seconds,stop_seconds,min_freq_hz,max_freq_hz,peak_freq_hz,mean_freq_hz,freq_bandwidth_hz,duration_ms,mean_power_db,max_power_db,peak_freq_1,peak_freq_2,peak_freq_3,peak_freq_4,peak_freq_5,status,source
96.2037,93.2089,36865.234375,40771.484375,38818.359375,39090.106000592416,3906.25,-2994.799999999998,-88.07193539071112,-83.67915333239418,38818.359375,38818.359375,38574.21875,40283.203125,39794.921875,pending,dsp
96.22576,96.231904,36621.09375,45654.296875,45166.015625,40131.46443724325,9033.203125,6.143999999999039,-86.87418726615445,-75.04836691596809,40039.0625,38818.359375,39062.5,38818.359375,41992.1875,pending,dsp
98.023392,98.031584,25390.625,28564.453125,25390.625,26174.46692590701,3173.828125,8.192000000001087,-87.32861357551337,-75.08196775632999,25146.484375,39306.640625,27343.75,25146.484375,25146.484375,pending,dsp
116.565984,116.573152,25390.625,51757.8125,50537.109375,25654.11096619155,26367.1875,7.168000000000063,-86.52507998106528,-77.24541941295159,25146.484375,49804.6875,25146.484375,40527.34375,50048.828125,pending,dsp
169.64448,169.656768,35644.53125,52490.234375,47607.421875,39148.2842125705,16845.703125,12.287999999998078,-87.62569511280887,-77.6530584595771,37597.65625,29052.734375,47851.5625,38574.21875,38085.9375,pending,dsp
169.849792,169.854912,41992.1875,44433.59375,43701.171875,43267.70468485101,2441.40625,5.119999999998015,-87.98282758075192,-84.07076974026522,36132.8125,43701.171875,38085.9375,44921.875,25146.484375,pending,dsp
248.30656,248.315264,25390.625,26367.1875,25390.625,25671.884922015917,976.5625,8.7040000000016,-84.63877319727389,-77.56271507538493,26123.046875,25634.765625,25390.625,25146.484375,25146.484375,pending,dsp
349.564256,349.577568,25390.625,42480.46875,25390.625,28788.63627996065,17089.84375,13.311999999999102,-85.32639514079501,-63.46607639069216,25146.484375,26123.046875,25390.625,26855.46875,27343.75,pending,dsp
411.768128,411.776832,25390.625,28320.3125,25390.625,25916.18135114359,2929.6875,8.7040000000016,-87.25164600448372,-71.76560634152638,25390.625,25390.625,27099.609375,25146.484375,26855.46875,pending,dsp
417.395488,417.401632,44433.59375,45898.4375,45166.015625,45226.23262008904,1464.84375,6.144000000000038,-88.84836758821329,-85.97644937430529,44189.453125,45410.15625,25390.625,45166.015625,32958.984375,pending,dsp
519.650048,519.65568,33935.546875,35400.390625,34667.96875,34813.56050735867,1464.84375,5.631999999998527,-87.07561273047284,-82.07756305832858,34667.96875,34912.109375,32226.5625,34912.109375,35156.25,pending,dsp
