start_seconds,stop_seconds,min_freq_hz,max_freq_hz,peak_freq_hz,mean_freq_hz,freq_bandwidth_hz,duration_ms,mean_power_db,max_power_db,peak_freq_1,peak_freq_2,peak_freq_3,peak_freq_4,peak_freq_5,status,source
0.380928,0.41216,27099.609375,29541.015625,28564.453125,28588.923648496337,2441.40625,31.23200000000004,-78.20454647141216,-66.40004392773339,27343.75,28320.3125,28564.453125,28808.59375,28320.3125,accepted,dsp
0.505344,0.564224,28564.453125,46875.0,45654.296875,32593.427122819332,18310.546875,58.87999999999993,-84.07612901167978,-68.34748787174016,32470.703125,32226.5625,29296.875,29541.015625,45654.296875,accepted,dsp
0.603136,0.609792,25390.625,36621.09375,28808.59375,29644.848595741725,11230.46875,6.655999999999995,-85.59810125887017,-75.26052754310274,29785.15625,28808.59375,27587.890625,29296.875,29785.15625,rejected,dsp
0.723968,0.745984,28320.3125,34667.96875,32958.984375,32105.003390121587,6347.65625,22.016000000000034,-82.48893839980225,-68.00111478457549,28808.59375,28808.59375,30273.4375,32958.984375,32714.84375,accepted,dsp
0.82944,0.854528,27832.03125,34667.96875,32714.84375,29493.45564637183,6835.9375,25.088,-85.26036528695089,-77.04481969364853,34912.109375,28564.453125,29296.875,33203.125,33935.546875,accepted,dsp
1.106432,1.112576,26123.046875,27832.03125,27099.609375,27003.009980232546,1708.984375,6.143999999999927,-87.61094399702667,-83.22505704666463,26611.328125,26855.46875,27099.609375,26611.328125,35156.25,rejected,dsp
1.373184,1.383936,34179.6875,45654.296875,40771.484375,39471.068004199406,11474.609375,10.752000000000097,-83.68966815371658,-71.01054037079277,34912.109375,35888.671875,38330.078125,41015.625,45166.015625,pending,dsp
1.439232,1.468928,32714.84375,41503.90625,37597.65625,36158.46829093114,8789.0625,29.695999999999945,-84.06761179458746,-70.27710387551578,34912.109375,33935.546875,33935.546875,34423.828125,37109.375,pending,dsp
2.005504,2.013696,25390.625,40527.34375,34423.828125,26429.41658337048,15136.71875,8.191999999999755,-88.66060492246572,-83.31668567885234,26611.328125,26855.46875,31250.0,26123.046875,35400.390625,pending,dsp
2.023424,2.045952,25390.625,52490.234375,48828.125,25999.606542034948,27099.609375,22.52800000000033,-85.67355094669159,-69.02914625057433,29785.15625,49316.40625,48583.984375,48828.125,48828.125,pending,dsp
2.454016,2.489344,31738.28125,46142.578125,38330.078125,38301.28134062817,14404.296875,35.327999999999804,-81.97146106075333,-60.28706388981515,32714.84375,34423.828125,36865.234375,43457.03125,40039.0625,pending,dsp
2.668032,2.703872,32226.5625,41259.765625,40283.203125,37924.66789185671,9033.203125,35.839999999999876,-81.682855209637,-63.41622278431806,35888.671875,33447.265625,39062.5,36376.953125,39794.921875,pending,dsp
3.05152,3.091968,27832.03125,34667.96875,32226.5625,32181.9018827645,6835.9375,40.44800000000003,-80.94421846423651,-67.95312186702013,32958.984375,32470.703125,32226.5625,28564.453125,32958.984375,pending,dsp
3.369472,3.376128,25390.625,31005.859375,28564.453125,28578.85372592849,5615.234375,6.655999999999995,-82.98712588038013,-67.32349778125314,28564.453125,28564.453125,29296.875,27832.03125,28808.59375,pending,dsp
3.404288,3.411456,27587.890625,34912.109375,34423.828125,30025.331582119805,7324.21875,7.167999999999619,-88.20494316045716,-82.33342789435275,45410.15625,34423.828125,31250.0,30517.578125,34179.6875,pending,dsp
3.452928,3.45856,37597.65625,54687.5,42724.609375,45072.20450039025,17089.84375,5.631999999999859,-87.73074499466964,-80.18958659748742,43212.890625,42724.609375,40283.203125,44677.734375,48828.125,pending,dsp
3.87584,3.885056,25390.625,30273.4375,28808.59375,28215.71627185248,4882.8125,9.215999999999893,-87.73559502797951,-82.24597969268677,29785.15625,25146.484375,29296.875,26611.328125,27587.890625,pending,dsp
4.028928,4.03456,26123.046875,29296.875,28808.59375,27809.124165685294,3173.828125,5.632000000000303,-88.83900297466785,-84.80143865228798,26611.328125,26855.46875,28808.59375,29296.875,28808.59375,pending,dsp
4.03968,4.062208,25390.625,54687.5,54443.359375,27367.147553226623,29296.875,22.52800000000033,-84.10719180683171,-67.63652454747375,25390.625,26855.46875,27587.890625,27343.75,27099.609375,pending,dsp
4.155904,4.190208,25390.625,31494.140625,26611.328125,27083.430374192645,6103.515625,34.304000000000556,-87.48899870444139,-79.03216287772116,30517.578125,25390.625,27099.609375,27832.03125,30273.4375,pending,dsp
4.233728,4.247552,25390.625,37109.375,29296.875,29622.010877802404,11718.75,13.823999999999614,-87.58670497097722,-78.08448780011449,35888.671875,28564.453125,28320.3125,35888.671875,26611.328125,pending,dsp
4.262912,4.279296,25390.625,33691.40625,29541.015625,28171.23849482424,8300.78125,16.3840000000004,-87.78756679898117,-80.05746569088629,25390.625,42236.328125,31250.0,30761.71875,29785.15625,pending,dsp
4.291072,4.329472,27832.03125,35400.390625,29541.015625,30144.722293917745,7568.359375,38.40000000000021,-83.6964960256109,-67.82582125057807,28320.3125,31982.421875,29541.015625,29296.875,29052.734375,pending,dsp
4.482048,4.490752,25390.625,35156.25,33447.265625,27679.52877356589,9765.625,8.703999999999823,-87.83993775419046,-79.31945061566773,27343.75,28564.453125,26611.328125,25878.90625,29785.15625,pending,dsp
4.511744,4.525568,25390.625,54687.5,45410.15625,34989.16429071,29296.875,13.823999999999614,-87.45847697088118,-63.96748687905061,45410.15625,30273.4375,28808.59375,28320.3125,29785.15625,pending,dsp
